X,Y,Z,G_x,G_y,G_z,formation
593045.4816329008,7006340.816773973,728.952880859375,-0.3520150515306796,-0.1281230007708506,0.9271838545667874,sill_diabasio
593045.9590864718,7006345.399305176,729.6519775390625,-0.2004328570434358,0.1021256415785091,0.9743700647852352,sill_diabasio
593041.8761165052,7006351.7915414,730.4140625,-0.2079116908177593,-3.8192757999792466e-17,0.9781476007338056,sill_diabasio
593037.5075383119,7006350.598918217,731.744384765625,-0.2493996755784059,-0.2092711757935738,0.9455185755993168,sill_diabasio
593103.5536754943,7006284.7803589385,727.5206298828125,0.0868240888334651,-0.1503837331804353,0.984807753012208,sill_diabasio
593103.9355822436,7006284.260191593,727.53564453125,0.2506607369984155,-0.278386951486749,0.9271838545667874,sill_diabasio
593104.2790977759,7006284.84252293,727.301025390625,0.2039521907790095,-0.159344915150196,0.9659258262890684,sill_diabasio
593105.2036191878,7006288.064724283,725.845703125,0.2367207513702569,-0.1986322951667912,0.9510565162951536,sill_diabasio
593104.6888725782,7006289.523039652,725.6142578125,0.1165442327044349,-0.0356311476848035,0.992546151641322,sill_diabasio
593107.5457813275,7006291.480181398,726.2061767578125,0.1545084971874737,-0.1391200757459827,0.9781476007338056,sill_diabasio
593109.1362698916,7006292.110817703,726.219482421875,0.0836451581208877,-0.1714979890247637,0.981627183447664,sill_diabasio
593107.3508742705,7006293.537620924,725.995849609375,0.1824715497591186,-0.0557871512546731,0.981627183447664,sill_diabasio
593107.2634565292,7006293.784193508,725.17626953125,0.6878980029495976,0.7123392348503029,0.1391731009600654,sill_diabasio
593095.1074559219,7006280.443344146,728.048828125,0.0586013820415615,-0.3699945646269595,0.9271838545667874,sill_diabasio
593097.3443735794,7006278.522442494,728.5595703125,0.0429226846882474,0.1859185731866496,0.981627183447664,sill_diabasio
593080.0672930524,7006283.569656648,719.4437255859375,0.1254779629686726,0.4682901330293325,0.8746197071393957,sill_diabasio
593080.1671059798,7006283.522387074,719.40966796875,0.1773171254751691,0.5149663246031949,0.838670567945424,sill_diabasio
593079.1821412971,7006282.701131334,719.395263671875,0.3078307376628291,0.5331784777634264,0.7880107536067219,sill_diabasio
592912.6214051828,7006312.315510306,724.78515625,-0.1956348560632979,0.2172745194807064,0.9563047559630354,sill_diabasio
592916.127644146,7006311.576029522,723.149658203125,-0.1090584352304622,0.1967466252709295,0.9743700647852352,sill_diabasio
592916.6327903705,7006309.890705364,722.88134765625,-0.4271357226968512,0.0986120516641321,0.898794046299167,sill_diabasio
592916.7535330586,7006309.190816305,722.775390625,0.127209612391215,0.2996870663073665,0.9455185755993168,sill_diabasio
