X,Y,Z,formation
593469.651988341,7005496.195423735,736.366455078125,sill_diabasio
593468.9653539651,7005496.937221106,737.9595947265625,sill_diabasio
593464.5293022906,7005498.35512772,738.155029296875,sill_diabasio
593463.2458637417,7005496.737447237,737.228515625,sill_diabasio
593462.4099324595,7005495.949446725,736.0953369140625,sill_diabasio
593353.2633137743,7005347.304771434,721.46630859375,sill_diabasio
593361.269395416,7005339.932612873,722.8326416015625,sill_diabasio
593335.5546026939,7005362.873740852,727.9619140625,sill_diabasio
593354.8279586011,7005478.020140097,740.1297607421875,encaixante_serra_alta
593354.7467807145,7005475.9171239175,734.070556640625,encaixante_serra_alta
593354.2030619583,7005477.338006437,734.167724609375,encaixante_serra_alta
593356.0331115421,7005476.199950803,735.2158203125,encaixante_serra_alta
593360.4973546363,7005486.241578694,739.6046142578125,encaixante_serra_alta
593359.3794569663,7005487.264641281,735.1220703125,encaixante_serra_alta
593359.9972916718,7005485.013497113,733.59521484375,encaixante_serra_alta
593360.0279406889,7005485.001082607,733.56884765625,encaixante_serra_alta
593410.4000548037,7006081.584537754,751.56396484375,encaixante_teresina
593412.2497425071,7006083.192449279,752.5301513671875,encaixante_teresina
592976.1855697979,7006314.946303166,717.72900390625,sill_diabasio
593009.3077312204,7006369.950925622,734.089111328125,sill_diabasio
593008.3432932354,7006372.418423459,732.917724609375,sill_diabasio
593008.0115829166,7006372.355536806,733.6494140625,sill_diabasio
593004.9865622815,7006371.928320534,732.715087890625,sill_diabasio
593005.1806509676,7006371.356383331,732.5166015625,sill_diabasio
593006.8815942595,7006370.571612379,732.0140380859375,sill_diabasio
593007.7598165497,7006370.509683726,732.205322265625,sill_diabasio
593009.0817696874,7006363.713756269,733.2841796875,sill_diabasio
593008.8209016032,7006362.776326625,733.059814453125,sill_diabasio
593010.6496699881,7006360.112965434,732.3797607421875,sill_diabasio
593013.0616892719,7006357.464091294,732.9208984375,sill_diabasio
593017.8221791412,7006356.017356722,732.43310546875,sill_diabasio
593016.9476905814,7006354.183896657,731.936279296875,sill_diabasio
593020.165492465,7006351.601022576,731.9541015625,sill_diabasio
593022.1140452453,7006351.039278321,731.68896484375,sill_diabasio
593022.3260944004,7006355.274845649,731.93798828125,sill_diabasio
593026.8183260206,7006349.769091293,731.19140625,sill_diabasio
593023.0159530209,7006348.565598507,730.777587890625,sill_diabasio
593024.963311355,7006352.103648587,731.97998046875,sill_diabasio
593027.6125749552,7006353.611500792,732.033447265625,sill_diabasio
593031.0044366665,7006351.362975631,731.8564453125,sill_diabasio
593033.2295977562,7006349.724650513,731.675537109375,sill_diabasio
593034.0362836423,7006348.1810822375,733.0322265625,sill_diabasio
593033.3527812777,7006345.759092353,732.4613037109375,sill_diabasio
593031.7123432903,7006340.287947102,732.0830078125,sill_diabasio
593031.4646986825,7006339.128869163,731.2490234375,sill_diabasio
593028.2302344207,7006335.480771832,729.544921875,sill_diabasio
593026.251390798,7006332.774877716,728.83837890625,sill_diabasio
593025.7151624075,7006332.0167398695,728.65576171875,sill_diabasio
593031.7823768059,7006328.788971032,728.721435546875,sill_diabasio
593033.4573857683,7006327.452729411,727.8319091796875,sill_diabasio
593034.7048232595,7006325.965695782,726.7265625,sill_diabasio
